cluster	gene	avg_logFC	p_val	p_val_adj	prop_in_cluster	prop_out_cluster
6	ENSG00000113504.18	0.351771852205904	3.07067480045163e-18	5.75935765572707e-14	0.54	0.18
6	ENSG00000184014.6	0.342434640507983	3.21314952557455e-18	6.02658325016763e-14	0.506	0.158
6	ENSG00000081189.12	0.364637762431658	3.34456357414035e-18	6.27306343965764e-14	0.69	0.247
6	ENSG00000175538.9	0.331514192330063	3.88158522954134e-18	7.28030125652773e-14	0.529	0.161
6	ENSG00000109436.7	0.272551495203049	3.97079230228254e-18	7.44761804216114e-14	0.46	0.127
6	ENSG00000169692.11	0.31936614843583	4.17446007345635e-18	7.82961731377473e-14	0.552	0.179
6	ENSG00000100300.16	0.46179247851996	4.5582939648539e-18	8.54953616047998e-14	1	0.765
6	ENSG00000105281.11	0.301017346545985	4.84186946767452e-18	9.08141037357033e-14	0.517	0.158
6	ENSG00000172531.13	0.457540498249998	4.90041295272389e-18	9.19121453412892e-14	0.966	0.774
6	ENSG00000113749.6	0.274961715699788	5.30862157943096e-18	9.95685063438071e-14	0.494	0.146
6	ENSG00000003056.6	0.468869159665895	5.31023931799948e-18	9.95988486483982e-14	0.862	0.514
6	ENSG00000102393.8	0.286686882454236	5.43806189941214e-18	1.01996288985374e-13	0.414	0.109
6	ENSG00000103994.15	0.41306482669469	5.62914593974958e-18	1.05580261245943e-13	0.782	0.341
6	ENSG00000090013.8	0.375016240238534	5.64609969923858e-18	1.05898245958919e-13	0.77	0.287
6	ENSG00000123143.11	0.462428403641453	6.07560065295348e-18	1.13953965846795e-13	0.908	0.548
6	ENSG00000168899.4	0.620916313799218	6.20257456870913e-18	1.16335488610708e-13	0.759	0.401
6	ENSG00000134250.16	0.36598590012152	6.52949269482626e-18	1.22467164984161e-13	0.632	0.231
6	ENSG00000197943.8	0.269974174188748	7.23509992801274e-18	1.35701534249807e-13	0.437	0.119
6	ENSG00000105514.6	0.29795606882473	7.28770980353193e-18	1.36688285075045e-13	0.506	0.15
6	ENSG00000144791.8	0.258508624007401	7.30154308944955e-18	1.36947742185716e-13	0.391	0.099
